YearQuarter,Industry,Gender,Number of Working Proprietors,Number of Part-Time Paid Employees,Number of Full-Time Paid Employees,Total Number of People in Employment
2015Q1,Public Administration and Safety,Female,200,8500,40800,49500
2015Q2,Public Administration and Safety,Female,100,7700,40700,48500
2015Q3,Public Administration and Safety,Female,100,8300,41000,49500
2015Q4,Public Administration and Safety,Female,200,8200,42000,50400
2016Q1,Public Administration and Safety,Female,100,8700,42800,51700
2016Q2,Public Administration and Safety,Female,200,8500,42100,50800
2016Q3,Public Administration and Safety,Female,200,8700,43100,51900
2016Q4,Public Administration and Safety,Female,100,8900,44100,53100
2017Q1,Public Administration and Safety,Female,100,9000,45200,54300
2017Q2,Public Administration and Safety,Female,100,8900,43200,52300
2017Q3,Public Administration and Safety,Female,100,8900,42800,51800
2017Q4,Public Administration and Safety,Female,100,9200,45400,54700
2018Q1,Public Administration and Safety,Female,100,8800,46200,55100
2018Q2,Public Administration and Safety,Female,100,8500,45900,54500
2018Q3,Public Administration and Safety,Female,100,8900,46700,55700
2018Q4,Public Administration and Safety,Female,100,8900,47800,56800
1989Q1,Public Administration and Safety,Both Sexes,300,4900,63900,69100
1989Q2,Public Administration and Safety,Both Sexes,300,5600,65400,71200
1989Q3,Public Administration and Safety,Both Sexes,300,5900,64300,70500
1989Q4,Public Administration and Safety,Both Sexes,300,5800,65000,71000
1990Q1,Public Administration and Safety,Both Sexes,300,5800,64200,70300
1990Q2,Public Administration and Safety,Both Sexes,300,6400,65500,72100
1990Q3,Public Administration and Safety,Both Sexes,300,6400,65200,72000
1990Q4,Public Administration and Safety,Both Sexes,300,6400,65500,72200
1991Q1,Public Administration and Safety,Both Sexes,300,6500,65600,72400
1991Q2,Public Administration and Safety,Both Sexes,300,6300,64600,71200
1991Q3,Public Administration and Safety,Both Sexes,300,6000,63500,69800
1991Q4,Public Administration and Safety,Both Sexes,300,6200,62600,69100
1992Q1,Public Administration and Safety,Both Sexes,300,6100,64000,70400
1992Q2,Public Administration and Safety,Both Sexes,300,6100,63300,69700
1992Q3,Public Administration and Safety,Both Sexes,300,6000,62100,68400
1992Q4,Public Administration and Safety,Both Sexes,300,6000,62200,68400
1993Q1,Public Administration and Safety,Both Sexes,300,6100,63200,69600
1993Q2,Public Administration and Safety,Both Sexes,300,6400,62100,68800
1993Q3,Public Administration and Safety,Both Sexes,300,6400,61300,68000
1993Q4,Public Administration and Safety,Both Sexes,300,6700,61100,68100
1994Q1,Public Administration and Safety,Both Sexes,300,6600,62300,69300
1994Q2,Public Administration and Safety,Both Sexes,300,7000,62300,69600
1994Q3,Public Administration and Safety,Both Sexes,300,6900,61500,68800
1994Q4,Public Administration and Safety,Both Sexes,300,6900,61400,68600
1995Q1,Public Administration and Safety,Both Sexes,300,7100,62100,69600
1995Q2,Public Administration and Safety,Both Sexes,400,7300,61300,68900
1995Q3,Public Administration and Safety,Both Sexes,400,7200,61700,69300
1995Q4,Public Administration and Safety,Both Sexes,400,7200,61200,68800
1996Q1,Public Administration and Safety,Both Sexes,400,7400,61700,69500
1996Q2,Public Administration and Safety,Both Sexes,400,7500,60800,68700
1996Q3,Public Administration and Safety,Both Sexes,400,7400,61700,69500
1996Q4,Public Administration and Safety,Both Sexes,400,7200,60600,68200
1997Q1,Public Administration and Safety,Both Sexes,400,6800,58700,65900
1997Q2,Public Administration and Safety,Both Sexes,400,6800,58900,66100
1997Q3,Public Administration and Safety,Both Sexes,400,7000,58300,65700
1997Q4,Public Administration and Safety,Both Sexes,400,7200,59500,67100
1998Q1,Public Administration and Safety,Both Sexes,400,7000,58800,66200
1998Q2,Public Administration and Safety,Both Sexes,400,7300,59200,66900
1998Q3,Public Administration and Safety,Both Sexes,400,7200,58500,66100
1998Q4,Public Administration and Safety,Both Sexes,400,7900,56500,64800
1999Q1,Public Administration and Safety,Both Sexes,400,7100,57600,65200
1999Q2,Public Administration and Safety,Both Sexes,400,7600,57900,65900
1999Q3,Public Administration and Safety,Both Sexes,400,7500,57600,65500
1999Q4,Public Administration and Safety,Both Sexes,300,7400,58100,65800
2000Q1,Public Administration and Safety,Both Sexes,300,7100,57000,64500
2000Q2,Public Administration and Safety,Both Sexes,300,7100,56800,64200
2000Q3,Public Administration and Safety,Both Sexes,300,7500,57600,65400
2000Q4,Public Administration and Safety,Both Sexes,300,7600,59200,67100
2001Q1,Public Administration and Safety,Both Sexes,300,12700,59500,72500
2001Q2,Public Administration and Safety,Both Sexes,300,7300,60000,67500
2001Q3,Public Administration and Safety,Both Sexes,300,7700,58700,66700
2001Q4,Public Administration and Safety,Both Sexes,300,7800,59700,67800
2002Q1,Public Administration and Safety,Both Sexes,300,7500,60500,68300
2002Q2,Public Administration and Safety,Both Sexes,300,7600,60700,68600
2002Q3,Public Administration and Safety,Both Sexes,300,7300,61500,69100
2002Q4,Public Administration and Safety,Both Sexes,300,7400,62100,69800
2003Q1,Public Administration and Safety,Both Sexes,300,7300,63100,70700
2003Q2,Public Administration and Safety,Both Sexes,300,7700,63100,71100
2003Q3,Public Administration and Safety,Both Sexes,300,8100,62500,71000
2003Q4,Public Administration and Safety,Both Sexes,300,8300,64800,73400
2004Q1,Public Administration and Safety,Both Sexes,400,8100,65300,73800
2004Q2,Public Administration and Safety,Both Sexes,400,8600,65000,74100
2004Q3,Public Administration and Safety,Both Sexes,500,9200,65900,75600
2004Q4,Public Administration and Safety,Both Sexes,500,9700,67200,77400
2005Q1,Public Administration and Safety,Both Sexes,500,10700,67600,78800
2005Q2,Public Administration and Safety,Both Sexes,500,10600,68800,80000
2005Q3,Public Administration and Safety,Both Sexes,400,11100,69600,81200
2005Q4,Public Administration and Safety,Both Sexes,500,10800,71400,82700
2006Q1,Public Administration and Safety,Both Sexes,500,10400,73000,83900
2006Q2,Public Administration and Safety,Both Sexes,500,10600,71500,82600
2006Q3,Public Administration and Safety,Both Sexes,500,10900,71600,83000
2006Q4,Public Administration and Safety,Both Sexes,500,11200,73300,85000
2007Q1,Public Administration and Safety,Both Sexes,500,10900,74500,86000
2007Q2,Public Administration and Safety,Both Sexes,600,11300,75100,87000
2007Q3,Public Administration and Safety,Both Sexes,600,11500,75400,87500
2007Q4,Public Administration and Safety,Both Sexes,700,12200,76900,89800
2008Q1,Public Administration and Safety,Both Sexes,600,12500,76500,89600
2008Q2,Public Administration and Safety,Both Sexes,600,13300,77300,91200
2008Q3,Public Administration and Safety,Both Sexes,600,11500,77300,89400
2008Q4,Public Administration and Safety,Both Sexes,700,12100,78600,91400
2009Q1,Public Administration and Safety,Both Sexes,700,12200,78200,91100
2009Q2,Public Administration and Safety,Both Sexes,800,12800,78300,91800
2009Q3,Public Administration and Safety,Both Sexes,500,12000,77100,89700
2009Q4,Public Administration and Safety,Both Sexes,0,13000,77200,90200
2010Q1,Public Administration and Safety,Both Sexes,400,12000,78900,91400
2010Q2,Public Administration and Safety,Both Sexes,400,12500,79200,92100
2010Q3,Public Administration and Safety,Both Sexes,300,13300,79800,93400
2010Q4,Public Administration and Safety,Both Sexes,300,12800,78400,91600
2011Q1,Public Administration and Safety,Both Sexes,400,15400,78700,94500
2011Q2,Public Administration and Safety,Both Sexes,400,14100,76200,90700
2011Q3,Public Administration and Safety,Both Sexes,500,14300,77100,91900
2011Q4,Public Administration and Safety,Both Sexes,500,16000,77400,93900
2012Q1,Public Administration and Safety,Both Sexes,500,13200,77500,91300
2012Q2,Public Administration and Safety,Both Sexes,400,13500,77800,91700
2012Q3,Public Administration and Safety,Both Sexes,500,13800,76000,90300
2012Q4,Public Administration and Safety,Both Sexes,400,13200,80700,94400
2013Q1,Public Administration and Safety,Both Sexes,600,14100,82000,96600
2013Q2,Public Administration and Safety,Both Sexes,500,12200,81200,93900
2013Q3,Public Administration and Safety,Both Sexes,500,11400,82700,94700
2013Q4,Public Administration and Safety,Both Sexes,500,13000,83100,96600
2014Q1,Public Administration and Safety,Both Sexes,500,13700,84200,98500
2014Q2,Public Administration and Safety,Both Sexes,500,12700,85500,98700
2014Q3,Public Administration and Safety,Both Sexes,500,12900,84900,98300
2014Q4,Public Administration and Safety,Both Sexes,400,12200,85600,98200
2015Q1,Public Administration and Safety,Both Sexes,500,13800,85400,99700
2015Q2,Public Administration and Safety,Both Sexes,400,11500,85100,96900
2015Q3,Public Administration and Safety,Both Sexes,400,12800,85500,98700
2015Q4,Public Administration and Safety,Both Sexes,400,13300,86600,100400
2016Q1,Public Administration and Safety,Both Sexes,400,14500,88000,102800
2016Q2,Public Administration and Safety,Both Sexes,400,13400,86600,100400
2016Q3,Public Administration and Safety,Both Sexes,400,13500,88400,102300
2016Q4,Public Administration and Safety,Both Sexes,300,13800,90800,104900
2017Q1,Public Administration and Safety,Both Sexes,400,14500,91900,106800
2017Q2,Public Administration and Safety,Both Sexes,300,14000,88600,102900
2017Q3,Public Administration and Safety,Both Sexes,400,13300,88300,102100
2017Q4,Public Administration and Safety,Both Sexes,400,13900,91900,106100
2018Q1,Public Administration and Safety,Both Sexes,400,13100,93400,106900
2018Q2,Public Administration and Safety,Both Sexes,400,12500,92400,105200
2018Q3,Public Administration and Safety,Both Sexes,400,13300,93200,106900
2018Q4,Public Administration and Safety,Both Sexes,300,13800,96400,110500
1989Q1,Education and Training,Male,400,5000,26700,32000
1989Q2,Education and Training,Male,400,5800,27300,33500
1989Q3,Education and Training,Male,400,6400,27600,34400
1989Q4,Education and Training,Male,400,6500,27800,34600
1990Q1,Education and Training,Male,400,5800,27400,33600
1990Q2,Education and Training,Male,400,7600,27500,35500
1990Q3,Education and Training,Male,400,7800,28000,36100
1990Q4,Education and Training,Male,400,8200,28200,36700
1991Q1,Education and Training,Male,400,6900,28100,35400
1991Q2,Education and Training,Male,400,8300,28000,36700
1991Q3,Education and Training,Male,400,8700,28000,37100
1991Q4,Education and Training,Male,400,8300,27900,36600
1992Q1,Education and Training,Male,400,6700,27600,34800
1992Q2,Education and Training,Male,400,8200,27900,36400
1992Q3,Education and Training,Male,400,8500,28200,37100
1992Q4,Education and Training,Male,400,8400,28300,37100
1993Q1,Education and Training,Male,500,7300,28300,36000
1993Q2,Education and Training,Male,500,8700,29100,38300
1993Q3,Education and Training,Male,500,9300,29400,39200
1993Q4,Education and Training,Male,500,9200,29200,39000
1994Q1,Education and Training,Male,600,7700,28700,37000
1994Q2,Education and Training,Male,600,9500,29400,39500
1994Q3,Education and Training,Male,600,10100,29300,40000
1994Q4,Education and Training,Male,500,9800,29400,39800
1995Q1,Education and Training,Male,500,7400,28400,36300
1995Q2,Education and Training,Male,500,10400,29100,40100
1995Q3,Education and Training,Male,500,11300,29600,41400
1995Q4,Education and Training,Male,500,10300,30000,40800
1996Q1,Education and Training,Male,500,7500,29600,37700
1996Q2,Education and Training,Male,500,11100,29900,41600
1996Q3,Education and Training,Male,500,11400,29900,41800
1996Q4,Education and Training,Male,500,13800,30600,44900
1997Q1,Education and Training,Male,500,9200,29300,39100
1997Q2,Education and Training,Male,500,11900,30300,42700
1997Q3,Education and Training,Male,500,13200,30700,44300
1997Q4,Education and Training,Male,500,13000,29900,43400
1998Q1,Education and Training,Male,500,8100,29500,38000
1998Q2,Education and Training,Male,500,12000,29600,42100
1998Q3,Education and Training,Male,500,12600,29900,43000
1998Q4,Education and Training,Male,600,16600,27800,45000
1999Q1,Education and Training,Male,600,13900,28600,43100
1999Q2,Education and Training,Male,700,15600,28200,44500
1999Q3,Education and Training,Male,800,15500,27400,43700
1999Q4,Education and Training,Male,500,15300,27700,43500
2000Q1,Education and Training,Male,400,9300,30600,40200
2000Q2,Education and Training,Male,400,11300,30800,42500
2000Q3,Education and Training,Male,500,11800,30800,43100
2000Q4,Education and Training,Male,500,11200,31000,42600
2001Q1,Education and Training,Male,500,7500,29400,37400
2001Q2,Education and Training,Male,500,10700,30400,41500
2001Q3,Education and Training,Male,500,10500,30800,41800
2001Q4,Education and Training,Male,600,10900,30700,42200
2002Q1,Education and Training,Male,600,7500,30900,39000
2002Q2,Education and Training,Male,600,10800,31900,43300
2002Q3,Education and Training,Male,500,11700,32300,44500
2002Q4,Education and Training,Male,500,10900,32900,44400
2003Q1,Education and Training,Male,400,8100,32100,40700
2003Q2,Education and Training,Male,400,11700,33000,45100
2003Q3,Education and Training,Male,500,12100,33600,46200
2003Q4,Education and Training,Male,700,11800,33700,46200
2004Q1,Education and Training,Male,500,7400,32700,40600
2004Q2,Education and Training,Male,500,11400,34100,46000
2004Q3,Education and Training,Male,500,11600,34000,46100
2004Q4,Education and Training,Male,600,10700,34400,45600
2005Q1,Education and Training,Male,500,7500,31800,39800
2005Q2,Education and Training,Male,500,10800,32700,44000
2005Q3,Education and Training,Male,400,11500,32600,44600
2005Q4,Education and Training,Male,500,10900,33400,44800
2006Q1,Education and Training,Male,500,6700,31200,38400
2006Q2,Education and Training,Male,1000,10500,32200,43700
2006Q3,Education and Training,Male,600,11000,32000,43600
2006Q4,Education and Training,Male,500,10900,32600,44000
2007Q1,Education and Training,Male,500,7000,30900,38400
2007Q2,Education and Training,Male,600,11900,31600,44100
2007Q3,Education and Training,Male,500,12300,32400,45200
2007Q4,Education and Training,Male,700,11700,32200,44600
2008Q1,Education and Training,Male,600,7200,30800,38600
2008Q2,Education and Training,Male,700,12700,31800,45300
2008Q3,Education and Training,Male,600,12100,32700,45400
2008Q4,Education and Training,Male,600,11200,32900,44600
2009Q1,Education and Training,Male,600,7900,31800,40300
2009Q2,Education and Training,Male,1100,11900,32000,45000
2009Q3,Education and Training,Male,600,11900,32100,44600
2009Q4,Education and Training,Male,600,10300,31800,42700
2010Q1,Education and Training,Male,500,7700,30800,39000
2010Q2,Education and Training,Male,600,11700,32900,45200
2010Q3,Education and Training,Male,400,11700,33100,45200
2010Q4,Education and Training,Male,500,11200,32500,44100
2011Q1,Education and Training,Male,500,7500,30000,38000
2011Q2,Education and Training,Male,500,11600,32700,44900
2011Q3,Education and Training,Male,600,11400,32800,44800
2011Q4,Education and Training,Male,400,10000,32400,42800
2012Q1,Education and Training,Male,400,6800,28800,35900
2012Q2,Education and Training,Male,400,10800,32600,43800
2012Q3,Education and Training,Male,400,9800,32800,43000
2012Q4,Education and Training,Male,500,10000,33400,44000
2013Q1,Education and Training,Male,600,7000,30500,38100
2013Q2,Education and Training,Male,600,11200,32600,44400
2013Q3,Education and Training,Male,500,12200,32900,45700
2013Q4,Education and Training,Male,400,11200,33200,44900
2014Q1,Education and Training,Male,400,7500,31200,39100
2014Q2,Education and Training,Male,500,11000,33000,44400
2014Q3,Education and Training,Male,500,12600,33500,46500
2014Q4,Education and Training,Male,600,11900,33500,46000
2015Q1,Education and Training,Male,600,7400,32100,40200
2015Q2,Education and Training,Male,500,11100,33400,45000
2015Q3,Education and Training,Male,400,10800,35300,46500
2015Q4,Education and Training,Male,500,10400,36100,47000
2016Q1,Education and Training,Male,600,7400,33500,41400
2016Q2,Education and Training,Male,800,10200,35500,46500
2016Q3,Education and Training,Male,900,10600,36100,47600
2016Q4,Education and Training,Male,700,10000,35500,46200
2017Q1,Education and Training,Male,700,6800,31200,38700
2017Q2,Education and Training,Male,700,10200,34200,45000
2017Q3,Education and Training,Male,700,10000,34000,44700
2017Q4,Education and Training,Male,700,9200,34600,44500
2018Q1,Education and Training,Male,600,6400,35100,42100
2018Q2,Education and Training,Male,500,11100,36300,47900
2018Q3,Education and Training,Male,700,11400,34500,46600
2018Q4,Education and Training,Male,500,10400,35200,46200
1989Q1,Education and Training,Female,400,19300,33400,53000
1989Q2,Education and Training,Female,400,21900,34300,56600
1989Q3,Education and Training,Female,400,23500,35700,59700
1989Q4,Education and Training,Female,400,23800,36600,60900
1990Q1,Education and Training,Female,500,21400,35000,56900
1990Q2,Education and Training,Female,500,25800,36400,62700
1990Q3,Education and Training,Female,500,25700,38200,64400
1990Q4,Education and Training,Female,500,27000,39200,66600
1991Q1,Education and Training,Female,400,24700,38000,63100
1991Q2,Education and Training,Female,500,28300,38700,67500
1991Q3,Education and Training,Female,500,29000,39600,69200
1991Q4,Education and Training,Female,600,28000,39800,68400
1992Q1,Education and Training,Female,600,24700,37700,63000
1992Q2,Education and Training,Female,700,27600,39000,67200
1992Q3,Education and Training,Female,700,28000,40300,69000
1992Q4,Education and Training,Female,700,28100,40700,69500
1993Q1,Education and Training,Female,700,26500,39300,66500
1993Q2,Education and Training,Female,800,29600,41000,71400
1993Q3,Education and Training,Female,800,30700,42300,73800
1993Q4,Education and Training,Female,900,31200,42300,74400
1994Q1,Education and Training,Female,900,27800,40400,69200
1994Q2,Education and Training,Female,900,32700,41900,75400
1994Q3,Education and Training,Female,800,33400,43700,78000
1994Q4,Education and Training,Female,800,33700,43800,78400
1995Q1,Education and Training,Female,800,28900,41600,71200
1995Q2,Education and Training,Female,800,34000,43400,78200
1995Q3,Education and Training,Female,800,35000,44700,80400
1995Q4,Education and Training,Female,800,35300,45400,81500
1996Q1,Education and Training,Female,800,32200,46000,79000
1996Q2,Education and Training,Female,700,35000,45100,80800
1996Q3,Education and Training,Female,700,36800,46100,83600
1996Q4,Education and Training,Female,700,38500,45800,85100
1997Q1,Education and Training,Female,700,29500,43900,74100
1997Q2,Education and Training,Female,700,38900,47200,86900
1997Q3,Education and Training,Female,700,41100,47300,89000
1997Q4,Education and Training,Female,700,41400,47600,89600
1998Q1,Education and Training,Female,700,33100,47200,80900
1998Q2,Education and Training,Female,700,39500,47700,87900
1998Q3,Education and Training,Female,700,41300,48000,90100
1998Q4,Education and Training,Female,800,42900,51300,94900
1999Q1,Education and Training,Female,800,36900,51800,89500
1999Q2,Education and Training,Female,1000,42300,52500,95800
1999Q3,Education and Training,Female,1200,43800,52200,97300
1999Q4,Education and Training,Female,700,45500,53600,99800
2000Q1,Education and Training,Female,500,35300,49600,85400
2000Q2,Education and Training,Female,700,40700,51500,92900
2000Q3,Education and Training,Female,800,41300,51800,94000
2000Q4,Education and Training,Female,800,41800,52800,95400
2001Q1,Education and Training,Female,800,32000,51200,84000
2001Q2,Education and Training,Female,600,38800,53400,92800
2001Q3,Education and Training,Female,600,39800,53900,94300
2001Q4,Education and Training,Female,600,40200,54300,95100
2002Q1,Education and Training,Female,500,30800,52300,83700
2002Q2,Education and Training,Female,500,39400,54900,94900
2002Q3,Education and Training,Female,600,39900,55800,96200
2002Q4,Education and Training,Female,600,40600,57700,98900
2003Q1,Education and Training,Female,500,33000,56300,89700
2003Q2,Education and Training,Female,600,42400,58800,101800
2003Q3,Education and Training,Female,1300,44000,59100,104300
2003Q4,Education and Training,Female,1000,43800,61100,105900
2004Q1,Education and Training,Female,900,32000,58100,90900
2004Q2,Education and Training,Female,900,41000,60600,102500
2004Q3,Education and Training,Female,900,44100,61400,106400
2004Q4,Education and Training,Female,1300,43700,62900,107900
2005Q1,Education and Training,Female,1100,30400,56000,87500
2005Q2,Education and Training,Female,1500,30700,56100,88400
2005Q3,Education and Training,Female,1300,42700,58900,102900
2005Q4,Education and Training,Female,1100,43600,61500,106200
2006Q1,Education and Training,Female,1200,24700,56100,82000
2006Q2,Education and Training,Female,1400,40300,61200,102900
2006Q3,Education and Training,Female,1300,42000,61400,104700
2006Q4,Education and Training,Female,900,42000,62100,105000
2007Q1,Education and Training,Female,1000,24000,57200,82200
2007Q2,Education and Training,Female,1100,42300,61100,104500
2007Q3,Education and Training,Female,1100,44100,62000,107200
2007Q4,Education and Training,Female,1100,43800,62500,107500
2008Q1,Education and Training,Female,1000,27900,58500,87400
2008Q2,Education and Training,Female,1100,42300,62200,105600
2008Q3,Education and Training,Female,1300,43700,64300,109300
2008Q4,Education and Training,Female,2000,42500,65900,110400
2009Q1,Education and Training,Female,1800,27800,63800,93400
2009Q2,Education and Training,Female,1600,43600,64600,109900
2009Q3,Education and Training,Female,1100,43400,65200,109600
2009Q4,Education and Training,Female,1000,42900,65500,109400
2010Q1,Education and Training,Female,1000,26600,59500,87100
2010Q2,Education and Training,Female,1000,40800,64600,106400
2010Q3,Education and Training,Female,800,42600,65700,109100
2010Q4,Education and Training,Female,800,43400,67200,111300
2011Q1,Education and Training,Female,700,28600,60100,89500
2011Q2,Education and Training,Female,800,43500,66900,111100
2011Q3,Education and Training,Female,700,41300,66000,108000
2011Q4,Education and Training,Female,900,42500,67700,111100
2012Q1,Education and Training,Female,600,26300,58900,85900
2012Q2,Education and Training,Female,800,42600,66500,109900
2012Q3,Education and Training,Female,900,40600,66100,107600
2012Q4,Education and Training,Female,1100,41100,68500,110700
2013Q1,Education and Training,Female,1000,28300,60300,89500
2013Q2,Education and Training,Female,900,41900,65400,108200
2013Q3,Education and Training,Female,1000,45100,65300,111400
2013Q4,Education and Training,Female,1000,43600,67700,112400
2014Q1,Education and Training,Female,900,30100,59800,90800
2014Q2,Education and Training,Female,1100,40500,65900,107500
2014Q3,Education and Training,Female,1200,42200,65600,109000
2014Q4,Education and Training,Female,1100,43400,67400,111800
2015Q1,Education and Training,Female,900,27200,63700,91800
2015Q2,Education and Training,Female,600,40700,66300,107600
2015Q3,Education and Training,Female,600,42100,67900,110700
2015Q4,Education and Training,Female,900,42100,70500,113500
2016Q1,Education and Training,Female,600,27400,64900,93000
2016Q2,Education and Training,Female,600,40900,69400,110900
2016Q3,Education and Training,Female,1000,38500,70400,109900
2016Q4,Education and Training,Female,1200,38600,71200,111000
2017Q1,Education and Training,Female,900,27400,60100,88400
2017Q2,Education and Training,Female,900,39400,65400,105700
2017Q3,Education and Training,Female,1100,39100,68400,108600
2017Q4,Education and Training,Female,900,38400,70100,109400
2018Q1,Education and Training,Female,1200,25500,67800,94500
2018Q2,Education and Training,Female,900,41300,71800,114000
2018Q3,Education and Training,Female,1100,42200,70500,113800
2018Q4,Education and Training,Female,1100,42800,71100,115100
1989Q1,Education and Training,Both Sexes,800,24200,60100,85100
1989Q2,Education and Training,Both Sexes,800,27700,61600,90100
1989Q3,Education and Training,Both Sexes,800,29900,63400,94100
1989Q4,Education and Training,Both Sexes,800,30300,64400,95500
1990Q1,Education and Training,Both Sexes,800,27200,62400,90500
1990Q2,Education and Training,Both Sexes,800,33400,63900,98200
1990Q3,Education and Training,Both Sexes,800,33400,66200,100500
1990Q4,Education and Training,Both Sexes,800,35100,67400,103300
1991Q1,Education and Training,Both Sexes,800,31700,66000,98500
1991Q2,Education and Training,Both Sexes,900,36600,66700,104200
1991Q3,Education and Training,Both Sexes,900,37700,67600,106300
1991Q4,Education and Training,Both Sexes,1000,36300,67700,105000
1992Q1,Education and Training,Both Sexes,1000,31400,65300,97800
1992Q2,Education and Training,Both Sexes,1100,35800,66800,103700
1992Q3,Education and Training,Both Sexes,1100,36500,68500,106100
1992Q4,Education and Training,Both Sexes,1100,36500,69000,106600
1993Q1,Education and Training,Both Sexes,1200,33800,67500,102500
1993Q2,Education and Training,Both Sexes,1300,38300,70200,109700
1993Q3,Education and Training,Both Sexes,1300,40000,71700,113000
1993Q4,Education and Training,Both Sexes,1400,40400,71500,113300
1994Q1,Education and Training,Both Sexes,1500,35500,69200,106100
1994Q2,Education and Training,Both Sexes,1400,42200,71300,114900
1994Q3,Education and Training,Both Sexes,1400,43500,73100,118000
1994Q4,Education and Training,Both Sexes,1300,43600,73300,118200
1995Q1,Education and Training,Both Sexes,1300,36300,69900,107500
1995Q2,Education and Training,Both Sexes,1300,44500,72600,118300
1995Q3,Education and Training,Both Sexes,1300,46300,74300,121800
1995Q4,Education and Training,Both Sexes,1300,45700,75300,122300
1996Q1,Education and Training,Both Sexes,1300,39800,75600,116700
1996Q2,Education and Training,Both Sexes,1300,46200,75000,122400
1996Q3,Education and Training,Both Sexes,1200,48200,76000,125400
1996Q4,Education and Training,Both Sexes,1200,52300,76500,129900
1997Q1,Education and Training,Both Sexes,1200,38800,73200,113100
1997Q2,Education and Training,Both Sexes,1100,50800,77600,129600
1997Q3,Education and Training,Both Sexes,1100,54300,78000,133400
1997Q4,Education and Training,Both Sexes,1100,54400,77500,133000
1998Q1,Education and Training,Both Sexes,1100,41100,76700,119000
1998Q2,Education and Training,Both Sexes,1200,51500,77400,130000
1998Q3,Education and Training,Both Sexes,1300,53900,78000,133200
1998Q4,Education and Training,Both Sexes,1300,59500,79000,139900
1999Q1,Education and Training,Both Sexes,1400,50800,80400,132600
1999Q2,Education and Training,Both Sexes,1700,57900,80600,140300
1999Q3,Education and Training,Both Sexes,2000,59300,79600,141000
1999Q4,Education and Training,Both Sexes,1200,60800,81300,143300
2000Q1,Education and Training,Both Sexes,900,44500,80200,125600
2000Q2,Education and Training,Both Sexes,1200,51900,82400,135400
2000Q3,Education and Training,Both Sexes,1300,53100,82700,137100
2000Q4,Education and Training,Both Sexes,1300,52900,83800,138000
2001Q1,Education and Training,Both Sexes,1300,39500,80600,121400
2001Q2,Education and Training,Both Sexes,1100,49500,83800,134300
2001Q3,Education and Training,Both Sexes,1200,50300,84700,136100
2001Q4,Education and Training,Both Sexes,1100,51200,85000,137400
2002Q1,Education and Training,Both Sexes,1200,38300,83300,122700
2002Q2,Education and Training,Both Sexes,1200,50200,86800,138200
2002Q3,Education and Training,Both Sexes,1100,51600,88100,140700
2002Q4,Education and Training,Both Sexes,1100,51600,90700,143300
2003Q1,Education and Training,Both Sexes,900,41100,88400,130400
2003Q2,Education and Training,Both Sexes,1000,54100,91800,146900
2003Q3,Education and Training,Both Sexes,1800,56000,92700,150500
2003Q4,Education and Training,Both Sexes,1700,55600,94800,152100
2004Q1,Education and Training,Both Sexes,1400,39400,90800,131500
2004Q2,Education and Training,Both Sexes,1400,52400,94700,148500
2004Q3,Education and Training,Both Sexes,1400,55700,95400,152500
2004Q4,Education and Training,Both Sexes,1800,54400,97300,153500
2005Q1,Education and Training,Both Sexes,1700,37900,87800,127300
2005Q2,Education and Training,Both Sexes,2000,41500,88900,132400
2005Q3,Education and Training,Both Sexes,1700,54200,91500,147500
2005Q4,Education and Training,Both Sexes,1600,54500,94900,151100
2006Q1,Education and Training,Both Sexes,1700,31400,87300,120500
2006Q2,Education and Training,Both Sexes,2400,50800,93400,146600
2006Q3,Education and Training,Both Sexes,1900,53000,93400,148300
2006Q4,Education and Training,Both Sexes,1400,52900,94700,149100
2007Q1,Education and Training,Both Sexes,1500,31000,88100,120600
2007Q2,Education and Training,Both Sexes,1700,54200,92700,148600
2007Q3,Education and Training,Both Sexes,1600,56400,94400,152400
2007Q4,Education and Training,Both Sexes,1900,55600,94600,152100
2008Q1,Education and Training,Both Sexes,1600,35000,89300,126000
2008Q2,Education and Training,Both Sexes,1900,55000,94000,150900
2008Q3,Education and Training,Both Sexes,1900,55800,97000,154700
2008Q4,Education and Training,Both Sexes,2600,53700,98800,155100
2009Q1,Education and Training,Both Sexes,2400,35700,95600,133700
2009Q2,Education and Training,Both Sexes,2700,55600,96600,154900
2009Q3,Education and Training,Both Sexes,1700,55300,97200,154200
2009Q4,Education and Training,Both Sexes,1600,53200,97300,152000
2010Q1,Education and Training,Both Sexes,1600,34300,90300,126100
2010Q2,Education and Training,Both Sexes,1600,52500,97500,151600
2010Q3,Education and Training,Both Sexes,1200,54300,98800,154300
2010Q4,Education and Training,Both Sexes,1300,54600,99600,155500
2011Q1,Education and Training,Both Sexes,1200,36100,90100,127500
2011Q2,Education and Training,Both Sexes,1300,55200,99600,156000
2011Q3,Education and Training,Both Sexes,1300,52600,98800,152800
2011Q4,Education and Training,Both Sexes,1300,52500,100100,154000
2012Q1,Education and Training,Both Sexes,1000,33100,87700,121800
2012Q2,Education and Training,Both Sexes,1200,53400,99100,153800
2012Q3,Education and Training,Both Sexes,1400,50400,98900,150700
2012Q4,Education and Training,Both Sexes,1600,51100,102000,154700
2013Q1,Education and Training,Both Sexes,1600,35300,90800,127600
2013Q2,Education and Training,Both Sexes,1500,53100,98000,152600
2013Q3,Education and Training,Both Sexes,1500,57300,98200,157000
2013Q4,Education and Training,Both Sexes,1500,54800,101000,157300
